id,x_coord,y_coord,demand,start_time,end_time,service_time
1,114.055656,22.56236,1.2,55,85,9
2,114.092161,22.563052,0.4,50,85,10
3,114.28974,22.741464,1.3,140,170,9
4,114.039747,22.661899,1.1,80,110,7
5,114.073601,22.633664,0.9,105,135,8
6,114.12857,22.544243,1.4,40,55,10
7,114.234344,22.732691,0.5,32,47,10
8,114.0526,22.718858,1.2,50,70,7
9,114.092006,22.542855,1.6,230,265,7
10,113.930025,22.536521,1.8,310,340,6
11,113.908395,22.769958,0.7,280,310,6
12,113.858685,22.582857,1.6,100,125,10
13,113.88643,22.586247,1.4,65,85,7
14,113.947515,22.683987,1.7,230,255,9
15,114.122209,22.611885,0.6,265,300,10
16,114.357572,22.693793,1.1,70,95,10
17,114.086159,22.544356,0.7,135,160,8
18,113.825091,22.676656,1.3,210,240,8
19,114.240054,22.563947,1.5,110,144,9
20,114.030186,22.670966,1.2,180,215,5
