        工序1    工序2     工序3    工序4   工序5
工件1    3         14         6        1     3
工件2    4         9         7        13     4
工件3    14         20         8        5     2
工件4    13         5         6        6     2
工件5    5         12         7        11     3
工件6    9         4         3        3      10
工件7    8         7         21        8      4
工件8    6         13         5        2      2
工件9    13         4         11        8      5
工件10   4         15         9        3      3
工件11   14         3         2        8       9
工件12    5         2         6        7     3
工件13    9         4         13        3      10
工件14    8         7         6        6      6
工件15    6         13         7        2      13
工件16    18         7         4        7     11
工件17    6         12         5        12     4
工件18    11         4         4        8      7
